Connecting to host 10.1.1.3, port 5010
[  4] local 10.1.1.2 port 41286 connected to 10.1.1.3 port 5010
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-0.10   sec  23.8 MBytes  1972 Mbits/sec    0    506 KBytes       
[  4]   0.10-0.20   sec  5.00 MBytes   419 Mbits/sec    0    711 KBytes       
[  4]   0.20-0.30   sec  5.00 MBytes   420 Mbits/sec    0    950 KBytes       
[  4]   0.30-0.40   sec  5.00 MBytes   419 Mbits/sec    8    635 KBytes       
[  4]   0.40-0.50   sec  5.00 MBytes   420 Mbits/sec    0    533 KBytes       
[  4]   0.50-0.60   sec  3.75 MBytes   315 Mbits/sec    0    537 KBytes       
[  4]   0.60-0.70   sec  3.75 MBytes   315 Mbits/sec    0    544 KBytes       
[  4]   0.70-0.80   sec  3.75 MBytes   317 Mbits/sec    3    382 KBytes       
[  4]   0.80-0.90   sec  3.75 MBytes   313 Mbits/sec    0    386 KBytes       
[  4]   0.90-1.00   sec  3.75 MBytes   314 Mbits/sec    0    393 KBytes       
[  4]   1.00-1.10   sec  2.50 MBytes   210 Mbits/sec    0    399 KBytes       
[  4]   1.10-1.20   sec  3.75 MBytes   315 Mbits/sec    0    404 KBytes       
[  4]   1.20-1.30   sec  2.50 MBytes   210 Mbits/sec    0    411 KBytes       
[  4]   1.30-1.40   sec  2.50 MBytes   210 Mbits/sec    0    416 KBytes       
[  4]   1.40-1.50   sec  3.75 MBytes   314 Mbits/sec    0    423 KBytes       
[  4]   1.50-1.60   sec  3.75 MBytes   315 Mbits/sec    4    373 KBytes       
[  4]   1.60-1.70   sec  2.50 MBytes   210 Mbits/sec    0    303 KBytes       
[  4]   1.70-1.80   sec  2.50 MBytes   210 Mbits/sec    0    308 KBytes       
[  4]   1.80-1.90   sec  2.50 MBytes   210 Mbits/sec    0    315 KBytes       
[  4]   1.90-2.00   sec  2.50 MBytes   209 Mbits/sec    0    321 KBytes       
[  4]   2.00-2.10   sec  2.50 MBytes   210 Mbits/sec    0    327 KBytes       
[  4]   2.10-2.20   sec  2.50 MBytes   210 Mbits/sec    0    334 KBytes       
[  4]   2.20-2.30   sec  2.50 MBytes   210 Mbits/sec    0    339 KBytes       
